phase,flux,flux_err
-2.027599251076695,1.0071932,0.005322558
-2.0275700770278107,1.0094749,0.0053666984
-2.0275475996027854,0.98978746,0.0056121824
-2.027542605142237,1.0071619,0.005360796
-2.0273677645788344,1.0029871,0.0053203343
-2.0273385942545503,0.9957036,0.0053519844
-2.0273161205530905,0.9964291,0.005622282
-2.027311124697283,1.0033997,0.0053555104
-2.027222852635262,1.0011613,0.0024202487
-2.0271893759799293,0.999558,0.0027672965
-2.0271362780799387,1.0050333,0.0053266645
-2.0271071110152836,1.0105631,0.0053689405
-2.027084641969057,1.0013267,0.005621483
-2.0270796447176456,0.99700356,0.0053530396
-2.026963904494651,1.0026051,0.0024153423
-2.0269478937681984,1.0019636,0.0022584202
-2.0269047911167615,0.99947506,0.005308961
-2.0268756282420233,0.9929214,0.0053494778
-2.026853162919707,0.99556416,0.005612525
-2.0268481642716565,1.0043275,0.0053587365
-2.026789048099799,1.0007696,0.0024005703
-2.0267374231613395,0.9999045,0.0025409297
-2.0266733046178658,1.0002142,0.0053166174
-2.0266441450024115,0.9980068,0.005348108
-2.0266216838696676,1.0002344,0.0056193974
-2.026616684291329,1.0011494,0.005348414
-2.0264418181200052,0.99367374,0.005317437
-2.026417993431164,1.0023139,0.0023831283
-2.0264126622281164,1.0001109,0.005361351
-2.026390204819628,0.9999703,0.0056255287
-2.0263852043123816,1.0018541,0.005354927
-2.026210331156138,1.0015905,0.0053151734
-2.0261811794538214,1.0036656,0.005356445
-2.0261587262359395,0.99627024,0.0056179445
-2.0261537238677723,0.9906109,0.0053327293
-2.0259788446579323,1.0027102,0.005316061
-2.0259496962142096,1.0002097,0.005363144
-2.0259272471869343,0.9925636,0.005617864
-2.0259222438884796,0.99089366,0.0053436505
-2.0258339545952664,0.9988102,0.0024169628
-2.0258004905202047,0.9978188,0.0027652613
-2.0257473576940654,1.0022825,0.005316274
-2.0257182134409493,0.9940943,0.005345113
-2.0256957681382746,1.0005357,0.005622078
-2.025690763442836,1.0015527,0.0053535923
-2.025575023219152,0.9945294,0.0024111867
-2.0255590157592267,0.9993662,0.0022563199
-2.0255158711958594,1.00582,0.0053176302
-2.025486730201683,0.99997747,0.005347937
-2.0254642890882346,1.0135926,0.0056361696
-2.0254592834628533,0.9967535,0.005344336
-2.025400127713926,1.0037155,0.002402288
-2.025348549795873,1.0005034,0.002541369
-2.025284384697654,1.0012856,0.005321029
-2.0252552474273875,0.9953949,0.005346137
-2.0252328105042015,1.0040324,0.0056353225
-2.0252278030168647,0.9941469,0.005341777
-2.0250528977337865,1.0082996,0.0053261262
-2.0250291428951734,1.0032433,0.0023824275
-2.025023764187431,1.0008925,0.0053558853
-2.0250013314545066,1.0045549,0.0056366576
-2.0249963230368824,0.9992127,0.005351583
-2.024821411236271,1.0074124,0.005329889
-2.024792281414171,1.0013272,0.0053581605
-2.0247698524051567,0.99849135,0.00562521
-2.0247648425912383,1.0022626,0.005358007
-2.024589924738065,0.9970492,0.0053175767
-2.024560798174559,0.99867624,0.005356726
-2.024538373355117,1.0027474,0.0056183264
-2.0245333626119457,0.9960005,0.005347804
-2.0244450570198973,0.9974758,0.0024156529
-2.0244116050606524,0.9976976,0.0027663214
-2.024358437774543,1.0108656,0.005320651
-2.024329315400954,0.9931962,0.005348713
-2.0243068947707386,0.994209,0.005617504
-2.0243018826316184,1.0000888,0.0053546266
-2.024186142408969,0.9989175,0.0024136847
-2.024170137749738,0.9986043,0.0022557634
-2.024126951275992,0.9980758,0.005304507
-2.0240978321609973,0.99142367,0.005340668
-2.0240754157217338,1.004334,0.005630466
-2.0240704021856293,1.0005678,0.0053452314
-2.0240112077940586,1.0014862,0.0024027808
-2.0239596759644005,0.9984965,0.0025396594
-2.0238954647781315,1.0058432,0.0053172437
-2.023866349386702,1.0094125,0.005372041
-2.023843936672729,0.9941257,0.00561895
-2.023838922205992,1.0049118,0.0053503793
-2.0236639778135745,0.99481595,0.005313637
-2.023640291894039,1.0006914,0.0023809285
-2.0236348666130968,0.99192184,0.0053461813
-2.023612457623724,0.99752027,0.0056197434
-2.023607441761038,0.9930182,0.0053392593
-2.0234324913160586,1.0032307,0.005315884
-2.0234033833738305,0.9953328,0.005352102
-2.0233809790393456,1.0037432,0.005628541
-2.0233759617810554,0.9977002,0.0053594657
-2.023201004817163,0.9969438,0.005319737
-2.0231719006005697,0.9986675,0.0053533097
-2.0231494999896507,1.0029432,0.005625578
-2.0231444813350667,1.0009872,0.0053461697
-2.0230561589799017,0.99652195,0.002416161
-2.0230227196005828,1.0031334,0.0027679594
-2.022969517853641,0.9992998,0.005320729
-2.0229404173609584,0.9953418,0.005342822
-2.022918020939956,1.0008742,0.005617025
-2.0229130013547394,0.99934155,0.0053456402
-2.0227972611331246,1.0019265,0.002416561
-2.0227812597397317,1.0049314,0.0022569865
-2.022738031355435,0.9974404,0.005310015
-2.022708934587008,1.0047253,0.0053562187
-2.0226865418906064,0.99770856,0.0056327414
-2.0226815209090954,1.0094273,0.0053645335
-2.0226222878738467,1.0029148,0.0024022493
-2.0225708025978997,1.0026456,0.00254195
-2.0225065448572295,1.0046268,0.005415724
-2.0224774513470516,0.99118525,0.005351745
-2.0224550633062277,0.9994858,0.0056233406
-2.0224500409298027,1.0015041,0.0053554308
-2.0222750578933626,1.0037109,0.005319375
-2.022251440893767,1.0018992,0.002380206
-2.0222459685731016,1.0019046,0.005362788
-2.022223584256188,1.0024382,0.0056292624
-2.022218560950165,1.0050344,0.005355121
-2.0220435713951566,1.0027211,0.0053179595
-2.02201448533349,1.002505,0.0053590876
-2.0219921052068384,1.0015733,0.005620897
-2.021987080505211,0.98923707,0.00534215
-2.021812084896951,0.99824494,0.0053038015
-2.0217830025602295,1.0002624,0.0053534266
-2.0217606261574885,1.0016743,0.005624833
-2.021755600524884,1.0067327,0.005362312
-2.021667260940596,0.99801475,0.0024192277
-2.0216338341405136,1.002303,0.002764472
-2.021580597933084,0.9970503,0.0053157243
-2.021551519320273,0.9977658,0.0053545414
-2.0215291475731103,1.0025526,0.005624495
-2.021524120078895,1.0036464,0.005350889
-2.0214083803222516,0.9990028,0.0024152994
-2.0213923817302426,0.9996102,0.0022568677
-2.021349111435223,1.0068647,0.0053193467
-2.0213200365459776,0.9852587,0.0053395536
-2.0212976685230704,0.99710035,0.0056174444
-2.0212926400989124,0.9917403,0.0053446773
-2.0212333679532897,1.0020221,0.0024005563
-2.0211819292313984,0.99843156,0.002539864
-2.0211176249363274,0.9947273,0.005313252
-2.0210885537734073,0.9998693,0.0053561367
-2.0210661894740656,0.98406535,0.005629754
-2.0210611596536134,1.0033586,0.0053542145
-2.02088613797315,1.0004138,0.0053163883
-2.0208625898926327,1.0025128,0.0023819178
-2.0208570705344857,1.0070722,0.005363348
-2.0208347104240256,1.0015153,0.0056214035
